Sun May  2 02:25:54 2021    pocket-client-0005.cprofile

         173839 function calls (168867 primitive calls) in 6.680 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /root/tfrpc/client/yolo_msgq.py:122(PocketMessageChannel)
       19    0.000    0.000    0.001    0.000 /usr/lib/python3.6/ipaddress.py:1460(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.6/dist-packages/numpy/core/_type_aliases.py:24(<module>)
        1    0.000    0.000    0.073    0.073 /usr/local/lib/python3.6/dist-packages/grpc/__init__.py:14(<module>)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       43    0.000    0.000    0.014    0.000 /usr/lib/python3.6/sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/polynomial/hermite_e.py:77(<module>)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.004    0.004 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:1(<module>)
       30    0.000    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/getlimits.py:41(<lambda>)
       92    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:81(add)
      143    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:1039(_abc_negative_cache_version)
       16    0.000    0.000    0.005    0.000 /usr/lib/python3.6/logging/__init__.py:1894(info)
       30    0.000    0.000    0.129    0.004 <frozen importlib._bootstrap_external>:919(create_module)
      465    0.000    0.000    0.000    0.000 /usr/lib/python3.6/typing.py:1096(__hash__)
       68    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:342(_escape)
       72    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:26(__exit__)
      121    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      127    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/google/protobuf/descriptor.py:551(__new__)
       16    0.000    0.000    0.002    0.000 /usr/lib/python3.6/logging/__init__.py:982(emit)
       16    0.000    0.000    0.005    0.000 /usr/lib/python3.6/logging/__init__.py:1421(_log)
       13    0.000    0.000    0.010    0.001 /usr/lib/python3.6/enum.py:604(_convert)
       16    0.000    0.000    0.005    0.000 /usr/lib/python3.6/logging/__init__.py:1298(info)
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_internal.py:781(_ufunc_doc_signature_formatter)
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       43    0.000    0.000    0.000    0.000 /usr/lib/python3.6/sre_parse.py:223(__init__)
      138    0.000    0.000    0.000    0.000 /usr/lib/python3.6/_weakrefset.py:70(__contains__)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       56    0.000    0.000    0.000    0.000 /usr/lib/python3.6/inspect.py:180(iscoroutinefunction)
        1    0.000    0.000    6.682    6.682 detect.py:8(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/threading.py:449(BoundedSemaphore)
       80    0.000    0.000    0.000    0.000 /usr/lib/python3.6/ipaddress.py:1125(_parse_octet)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.6/datetime.py:5(<module>)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.6/dist-packages/numpy/lib/shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_type_aliases.py:114(_add_aliases)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.6/enum.py:135(<dictcomp>)
       16    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.6/xml/dom/minidom.py:16(<module>)
