Mon May  3 09:11:19 2021    data/20210503-09:10:54-5-cprofile/pocket-server-001.cprofile

         1388125 function calls (1322899 primitive calls) in 20.726 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.001    0.000    0.002    0.000 /usr/lib/python3.6/enum.py:797(__or__)
      125    0.001    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/ops/ragged/ragged_dispatch.py:525(_ragged_op_signature)
        1    0.001    0.001    0.003    0.003 /usr/local/lib/python3.6/dist-packages/tensorflow_core/compiler/xla/service/hlo_pb2.py:5(<module>)
       36    0.001    0.000    0.001    0.000 {built-in method io.open}
     1589    0.001    0.000    0.002    0.000 /usr/lib/python3.6/collections/__init__.py:422(<genexpr>)
        1    0.001    0.001    0.435    0.435 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/ops/standard_ops.py:17(<module>)
     1589    0.001    0.000    0.002    0.000 /usr/lib/python3.6/collections/__init__.py:420(<genexpr>)
        1    0.001    0.001    0.001    0.001 /usr/lib/python3.6/unittest/case.py:341(TestCase)
      161    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/module_wrapper.py:111(<listcomp>)
      196    0.001    0.000    0.002    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/_vendor/packaging/version.py:131(_legacy_cmpkey)
       61    0.001    0.000    0.012    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/deprecation.py:426(deprecated_wrapper)
     1252    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/tools/docs/doc_controls.py:24(do_not_generate_docs)
      626    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      260    0.001    0.000    0.011    0.000 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/util/deprecation.py:46(_add_deprecated_function_notice_to_docstring)
       15    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/arrayprint.py:1482(_guarded_repr_or_str)
        1    0.001    0.001    0.002    0.002 /usr/local/lib/python3.6/dist-packages/tensorflow_core/core/protobuf/tpu/optimization_parameters_pb2.py:5(<module>)
2355/1927    0.001    0.000    0.004    0.000 {built-in method builtins.issubclass}
      255    0.001    0.000    0.002    0.000 /usr/lib/python3.6/sre_compile.py:376(_mk_bitmap)
     3413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      444    0.001    0.000    0.001    0.000 /usr/lib/python3.6/sre_parse.py:342(_escape)
      196    0.001    0.000    0.012    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/__init__.py:2124(distributions_from_metadata)
        1    0.001    0.001    0.001    0.001 /usr/local/lib/python3.6/dist-packages/tensorflow_core/core/profiler/tfprof_log_pb2.py:5(<module>)
        1    0.001    0.001    0.008    0.008 /usr/local/lib/python3.6/dist-packages/tensorboard/compat/proto/config_pb2.py:5(<module>)
      860    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/_vendor/packaging/version.py:114(_parse_version_parts)
     3270    0.001    0.000    0.001    0.000 {built-in method _CheckCalledFromGeneratedFile}
       98    0.001    0.000    0.008    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/__init__.py:2578(from_location)
     2370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      273    0.001    0.000    0.003    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/function_base.py:460(add_newdoc)
        1    0.001    0.001    0.002    0.002 /usr/local/lib/python3.6/dist-packages/tensorflow_core/core/grappler/costs/op_performance_data_pb2.py:5(<module>)
        1    0.001    0.001    0.027    0.027 /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/ops/gen_nn_ops.py:5(<module>)
     2568    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
        1    0.001    0.001    0.019    0.019 /usr/local/lib/python3.6/dist-packages/cv2/__init__.py:1(<module>)
        1    0.001    0.001    0.005    0.005 /usr/local/lib/python3.6/dist-packages/tensorflow_core/core/protobuf/meta_graph_pb2.py:5(<module>)
      863    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      891    0.001    0.000    0.001    0.000 {built-in method builtins.all}
      201    0.001    0.000    0.001    0.000 /usr/lib/python3.6/posixpath.py:154(dirname)
     2492    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
      840    0.001    0.000    0.001    0.000 /usr/local/lib/python3.6/dist-packages/pkg_resources/__init__.py:2069(dist_factory)
